ANIO,MES,CONGLOMERADO,MUESTRA,SELVIV,HOGAR,REGION,LLAVE_PANEL,ESTRATO,C201,C203,C204,C205,C206,C207,C208,C300n,NROINF,C301_DIA,C301_MES,C301_ANIO,C303,C304,C305,C306_1,C306_2,C306_3,C306_4,C306_5,C306_6,C306_7,C306_8,C306_9,C306_10,C306_10A,C306_11,C306A,C308_COD,C309_COD,C310,C311,C312,C313,C317,C317A,C318_1,C318_2,C318_3,C318_4,C318_5,C318_6,C318_7,C318_T,C328_T,whoraT,C330,C331,C333,C334,P209H,C335,C338,C339_1,C341_T,C342,C344,C345_1,C347_T,C348,C350,C352,C353,C354,C355,C356,C357_I,C358,C359,SEGURO1,C361_1,C362_1,C361_2,C362_2,C361_3,C362_3,C361_4,C362_4,C361_5,C362_5,C361_6,C362_6,C361_7,C362_7,C361_8,C362_8,C364_1,C365_1,C364_2,C365_2,C364_3,C365_3,C364_4,C365_4,C366,C366_1,C366_2,C375_1,C375_2,C375_3,C375_4,C375_5,C375_6,C376,C377,OCUP300,I339_1,D341_T,I342,D344,I345_1,I348,D347_T,D350,D351_T,INGTOT,INGTOTP,ingtrabw,RESIDENT,fa_nde24
2023,11,1817602,1,0063,1,1,20231118176021006311,1,1,1,1,2, ,2,32,1,1,30,3,1991,1, , , , , , , , , , , , , , , ,4132,6512,3,5,1, ,5,1000,0,9,9,9,9,9,0,45, ,45,1, ,1,1,1,2,4,1025, , , , , , , , , , , , , , ,1,1,1,1,2, ,2, ,2, ,2, ,2, ,2, ,2, ,2, ,1,1,2, ,2, ,8,1, ,2,2,2,2,2,2,10,7,1,1025, , , , , , , , ,1025,1025,1025,1,444.396878464748
2023,11,49919,1,0288,1,1,202311499191028811,1,1,1,1,2, ,1,38,1,1,19,10,1985,1, , , , , , , , , , , , , , , ,2511,6419,3,5,1, ,5,9998,0,9,9,9,9,9,0,45, ,45,1, ,1,1,1,2,4,8000, , , , , , , , , , , , , , ,1,3,1,1,2, ,1,1,2, ,2, ,2, ,2, ,2, ,1,1,2, ,2, ,2, ,11,5, ,2,2,2,2,2,2,10,7,1,8000, , , , , , , ,2668,8000,8000,10668,1,800.697619864401
2023,11,49919,1,0288,1,1,202311499191028812,1,2,2,1,2, ,2,36,2,1,18,2,1987,1, , , , , , , , , , , , , , , ,3322,6419,3,5,1, ,5,9998,0,4,4,4,4,4,4,24, ,24,1, ,2, ,2,2,4,1500, , , , , , , , , , , , , , ,1,1,1,1,2, ,2, ,2, ,2, ,2, ,2, ,2, ,1,1,2, ,2, ,2, ,9,3, ,2,2,2,2,2,2,10,7,1,1500, , , , , , , ,250,1500,1500,1750,1,765.830691350168
2023,11,2189001,1,0008,1,1,20231121890011000811,1,1,1,1,2, ,1,46,1,1,13,7,1977,1, , , , , , , , , , , , , , , ,7129,4520,2, ,3,2,1,1,0,10,10,10,10,10,10,60, ,60,1, ,1,1,1,2, , , , , , , , , , , , , , , , ,1,5,2, ,2, ,2, ,2, ,1,5,2, ,2, ,2, ,2, ,1,5,2, ,2, ,6,5, ,2,2,2,2,2,2,10,7,1, , ,1450, , , , , , ,1450,1450,1450,1,758.279374098291
2023,11,2189001,1,0008,1,1,20231121890011000812,1,2,2,1,2, ,2,47,2,2,28,12,1975,1, , , , , , , , , , , , , , , ,9112,8411,3,2, , ,5,9998,0,9,9,8,9,8,5,48, ,48,1, ,1,1,1,1,4,1000, , , , , , , , , , , , , , ,1,5,2, ,2, ,2, ,2, ,1,5,2, ,2, ,2, ,2, ,1,5,2, ,2, ,6,5, ,2,2,2,2,2,2,10,7,1,1000, , , , , , , , ,1000,1000,1000,1,713.07769254235
2023,11,2189001,1,0008,1,1,20231121890011000816,1,3,3,1,2, ,1,20,3,3,27,5,2003,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2, ,9333,5224,2, ,3,2,1,1,0,0,0,4,0,0,0,4, ,15,2,15,1,1,1,1, , , , , , , , , , , , , , , , ,1,5,2, ,2, ,2, ,2, ,1,5,2, ,2, ,2, ,2, ,2, ,2, ,2, ,6,5, ,2,2,2,2,2,2,10,7,1, , ,250, , , , , , ,250,250,250,1,835.221759921308
2023,11,2189001,1,0008,1,1,20231121890011000817,1,4,3,1,2, ,2,16,4,4,23,2,2007,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,4,2, , , , ,2,5,2, ,2, ,2, ,2, ,1,5,2, ,2, ,2, ,2, ,2, ,2, ,2, ,5,3, ,2,2,2,2,2,2,10,7,4, , , , , , , , , , , , ,1,911.673064741778
2023,11,1957002,1,0053,1,1,20231119570021005311,1,1,1,1,2, ,2,33,1,1,25,8,1990,1, , , , , , , , , , , , , , , ,2141,6110,3,5,1, ,5,998,0,9,9,9,9,9,0,45, ,45,1, ,2, ,2,2,4,4000,400, , , , , , , , , , , , , ,1,1,1,1,2, ,2, ,2, ,2, ,2, ,2, ,2, ,1,1,2, ,2, ,2, ,11,5, ,2,2,2,2,2,2,10,7,1,4000,400, , , , , , ,1332,4400,4400,5732,1,1036.10062273872
2023,11,1957002,1,0053,1,1,20231119570021005312,1,2,6,1,2, ,2,57,2,1,3,2,1966,1, , , , , , , , , , , , , , , ,9111,9700,6, , , ,1,1,0,6,6,6,6,7,0,31, ,31,1, ,2, ,2,2,4,1300,900, , , , , , , , , , , , , ,1,1,1,1,2, ,2, ,2, ,2, ,2, ,2, ,2, ,1,1,2, ,2, ,2, ,5,3, ,2,2,2,2,2,2,10,7,1,1300,900, , , , , , ,432,2200,2200,2632,1,821.49352348115
2023,11,2440401,1,0110,1,1,20231124404011011011,1,1,1,1,2, ,1,75,1,1,14,11,1947,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,5,2, , , , ,1,3,1,3,1,4,2, ,2, ,2, ,2, ,2, ,2, ,2, ,1,3,2, ,2, ,11,5, ,2,2,2,2,2,2,10,7,4, , , , , , , , , , , , ,1,1108.15135055118
2023,11,2440401,1,0110,1,1,20231124404011011012,1,2,2,1,2, ,2,77,2,2,15,1,1946,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,5,2, , , , ,1,3,1,3,1,4,2, ,2, ,2, ,2, ,2, ,2, ,2, ,1,3,2, ,2, ,12,2, ,2,2,2,2,2,2,10,7,4, , , , , , , , , , , , ,1,1042.09350145966
2023,11,2440401,1,0110,1,1,20231124404011011013,1,3,3,1,2, ,2,44,3,3,10,8,1979,1, , , , , , , , , , , , , , , ,2251,8620,2, ,2,1,1,1,0,2,2,2,2,8,5,21,19,50,2,50,1,1,1,2, , , , , ,1000, , , , , , , , , , ,1,5,2, ,2, ,2, ,2, ,1,5,2, ,2, ,2, ,2, ,2, ,2, ,2, ,12,2, ,2,2,2,2,2,2,10,7,1, , ,950, ,1000, , , , ,1950,950,1950,1,1314.33017419168
2023,11,1800202,1,1111,1,1,20220818002021111111,1,1,1,1,2, ,2,30,1,1,27,6,1993,1, , , , , , , , , , , , , , , ,2634,8610,3,2, , ,5,9998,0,6,6,6,6,6,0,30, ,30,1, ,1,1,1,2,4,1600, , , , , , , , , , , , , , ,1,5,2, ,2, ,2, ,2, ,1,5,2, ,2, ,2, ,2, ,2, ,2, ,2, ,11,5, ,2,2,2,2,2,2,10,7,1,1600, , , , , , , , ,1600,1600,1600,1,890.596574098838
2023,11,17846,1,0095,1,1,202308178461009511,1,1,1,1,2, ,1,38,1,1,5,11,1984,1, , , , , , , , , , , , , , , ,7129,3315,3,5,1, ,2,40,0,8,8,8,8,8,8,48, ,48,1, ,1,2,2,2,4,1500, , , , , , , , , , , , , , ,1,1,1,1,2, ,2, ,2, ,2, ,2, ,2, ,2, ,1,1,2, ,2, ,2, ,9,3, ,2,2,2,2,2,2,10,7,1,1500, , , , , , , ,166,1500,1500,1666,1,370.245114916267
2023,11,17846,1,0095,1,1,202308178461009512,1,2,2,1,2, ,2,35,2,2,26,11,1987,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,5,1,1,6, , ,1,1,1,4,2, ,2, ,2, ,2, ,2, ,2, ,2, ,1,5,2, ,2, ,2, ,9,3, ,2,2,2,2,2,2,10,7,4, , , , , , , , , , , , ,1,354.122536761588
2023,11,17846,1,0095,1,1,202308178461009513,1,3,3,1,2, ,1,14,3,3,2,4,2009,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,4,2, , , , ,2,1,1,4,2, ,2, ,2, ,2, ,2, ,2, ,2, ,2, ,2, ,2, ,2, ,5,1, ,2,2,2,2,2,2,10,7,4, , , , , , , , , , , , ,1,328.867324954808
