ANIO,MES,CONGLOMERADO,MUESTRA,SELVIV,HOGAR,REGION,LLAVE_PANEL,ESTRATO,C201,C203,C204,C205,C206,C207,C208,C300n,NROINF,C301_DIA,C301_MES,C301_ANIO,C303,C304,C305,C306_1,C306_2,C306_3,C306_4,C306_5,C306_6,C306_7,C306_8,C306_9,C306_10,C306_10A,C306_11,C306A,C308_COD,C309_COD,C310,C311,C312,C313,C317,C317A,C318_1,C318_2,C318_3,C318_4,C318_5,C318_6,C318_7,C318_T,C328_T,whoraT,C330,C331,C333,C334,P209H,C335,C338,C339_1,C341_T,C342,C344,C345_1,C347_T,C348,C350,C352,C353,C354,C355,C356,C357_I,C358,C359,SEGURO1,C361_1,C362_1,C361_2,C362_2,C361_3,C362_3,C361_4,C362_4,C361_5,C362_5,C361_6,C362_6,C361_7,C362_7,C361_8,C362_8,C364_1,C365_1,C364_2,C365_2,C364_3,C365_3,C364_4,C365_4,C366,C366_1,C366_2,C375_1,C375_2,C375_3,C375_4,C375_5,C375_6,C376,C377,OCUP300,I339_1,D341_T,I342,D344,I345_1,I348,D347_T,D350,D351_T,INGTOT,INGTOTP,ingtrabw,RESIDENT,fa_nde24
2024,01,18910,1,0131,1,1,202210189101013111,1,1,1,1,2, ,2,35,1,1,9,2,1988,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,5,2,2,6, , ,1,1,1,4,2, ,2, ,2, ,2, ,2, ,2, ,2, ,2, ,2, ,2, ,2, ,6,5, ,2,2,2,2,2,2,1,1,4, , , , , , , , , , , , ,1,1864.04974119259
2024,01,18910,1,0131,1,1,202210189101013112,1,2,2,1,2, ,1,44,2,2,4,12,1979,1, , , , , , , , , , , , , , , ,7111,4100,3,5,2,2,1,4,0,8,8,8,8,8,8,48, ,48,1, ,2, ,2,2,2,400, , , , , , , , , , , , , , ,1,5,2, ,2, ,2, ,2, ,1,5,2, ,2, ,2, ,2, ,2, ,2, ,2, ,6,5, ,2,2,2,2,2,2,1,1,1,1732, , , , , , , , ,1732,1732,1732,1,1948.91665734941
2024,01,18910,1,0132,1,1,202210189101013211,1,1,1,1,2, ,2,48,1,1,16,7,1975,1, , , , , , , , , , , , , , , ,9111,9700,6, , , ,1,1,0,8,8,8,8,0,0,32, ,32,1, ,1,1,1,2,2,240,40, , , , , , , , , , , , , ,1,6,2, ,2, ,2, ,2, ,2, ,2, ,2, ,2, ,2, ,2, ,2, ,2, ,8,2, ,2,2,2,2,2,2,1,1,1,1039,173, , , , , , , ,1212,1212,1212,1,1477.94987883391
2024,01,18910,1,0132,1,1,202210189101013212,1,2,3,1,2, ,1,19,2,2,7,9,2004,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,8,2,2,5, , ,1,5,2, ,2, ,2, ,2, ,1,5,2, ,2, ,2, ,2, ,2, ,2, ,2, ,6,5, ,2,2,2,2,2,2,10,7,4, , , , , , , , , , , , ,1,1731.10996429303
2024,01,18910,1,0132,1,1,202301189101013213,1,3,7,1,2, ,1,37,3,3,17,11,1986,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,5,1,1,1,1,1,1,5,2, ,2, ,2, ,2, ,1,5,2, ,2, ,2, ,2, ,2, ,2, ,2, ,6,5, ,2,2,2,2,2,2,1,7,2, , , , , , , , , , , , ,1,1948.91665734941
2024,01,18910,1,0132,1,1,202301189101013214,1,4,7,1,2, ,1,27,4,4,1,12,1996,1, , , , , , , , , , , , , , , ,3113,3314,3,5,1, ,1,15,0,8,8,8,8,8,8,48, ,48,1, ,2, ,2,1,3,900,130, , , , , , , , , , , , , ,1,1,1,1,2, ,2, ,2, ,2, ,2, ,2, ,2, ,2, ,1,1,2, ,2, ,9,3, ,2,2,2,2,2,2,1,1,1,1800,130, , , , , , ,184,1930,1930,2114,1,1948.91665734941
2024,01,18910,1,0133,1,1,202210189101013311,1,1,1,1,2, ,1,28,1,1,23,10,1995,1, , , , , , , , , , , , , , , ,3115,990,3,5,1, ,5,3500,0,8,8,8,8,8,8,48, ,48,1, ,1,1,1,2,4,2800, , , , , , , , , , , , , , ,1,3,1,1,2, ,1,1,2, ,2, ,2, ,2, ,2, ,1,1,2, ,2, ,2, ,9,3, ,2,2,2,2,2,2,10,7,1,2800, , , , , , , ,1366,2800,2800,4166,1,1948.91665734941
2024,01,27591,1,0018,1,1,202210275911001811,1,1,1,1,2, ,1,79,1,1,19,12,1944,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,6,1,1,3, , ,1,1,1,3,2, ,2, ,2, ,2, ,2, ,2, ,2, ,1,3,1,3,2, ,2, ,5,2, ,2,2,2,2,2,2,1,7,4, , , , , , , , , , , , ,1,806.114201752975
2024,01,27591,1,0018,1,1,202210275911001812,1,2,2,1,2, ,2,74,2,2,17,4,1949,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,5,2,2,6, , ,1,1,1,4,2, ,2, ,2, ,2, ,2, ,2, ,2, ,2, ,2, ,2, ,2, ,1, , ,2,2,2,2,2,2,1,1,4, , , , , , , , , , , , ,1,758.061045238346
2024,01,27591,1,0018,1,1,202210275911001814,1,3,3,1,2, ,2,53,3,3,14,9,1970,2,1, , , , , , , , , , , , , , ,2330,8521,3,2, , ,5,9998,0,0,0,0,0,0,0,0, ,30,2,30,2, ,2,2,4,3500, , , , , , , , , , , , , , ,1,1,1,1,2, ,2, ,2, ,2, ,2, ,2, ,2, ,2, ,1,1,2, ,2, ,12,2, ,2,2,2,2,2,2,10,7,1,3500, , , , , , , ,75,3500,3500,3575,1,758.061045238346
